"words" "score"
"i m in the" 1664
"i miss you too" 1280
"i m looking forward" 1536
"i m not a" 2688
"i m not going" 2944
"i m not sure" 6784
"i m pretty sure" 2816
"i m so excited" 1408
"i m sure you" 1664
"i m trying to" 2048
"i m working on" 1408
"in addition to the" 1792
"in a few weeks" 1664
"in a long time" 1664
"in a lot of" 1280
"in an attempt to" 1408
"in and out of" 2176
"in an effort to" 2432
"in a way that" 2304
"i need to get" 1408
"in front of a" 1408
"in front of me" 1280
"in front of the" 3840
"in new york city" 2048
"in one of the" 1664
"in response to a" 1280
"in the back of" 2048
"in the block of" 2816
"in the bottom of" 1408
"in the case of" 2048
"in the early s" 1536
"in the face of" 1408
"in the first half" 1920
"in the first place" 2688
"in the first round" 1792
"in the form of" 2304
"in the fourth quarter" 1280
"in the heart of" 1280
"in the late s" 1536
"in the middle of" 7296
"in the mid s" 1920
"in the midst of" 2432
"in the next few" 1280
"in the process of" 1280
"in the s and" 2944
"in the second half" 1408
"in the united states" 6656
"in the wake of" 1408
"i really don t" 1792
"i really want to" 1408
"is expected to be" 1920
"is going to be" 8064
"is one of my" 1664
"is one of the" 8064
"is one of those" 1280
"is part of the" 1408
"it doesn t matter" 1536
"it has to be" 1920
"i think i ll" 1408
"i think i m" 2944
"i think it s" 7424
"i think it would" 1408
"i think that s" 2432
"i think we re" 1664
"i thought i d" 1536
"i thought it was" 2688
"it is hard to" 1280
"it is not a" 1408
"it s a good" 2560
"it s a great" 2688
"it s a little" 1408
"it s all about" 1664
"it s a lot" 1280
"it s a very" 1408
"it s been a" 3968
"it s going to" 6144
"it s hard to" 4480
"it s important to" 1792
"it s just a" 1664
"it s kind of" 2048
"it s nice to" 1792
"it s not a" 2432
"it s not just" 1280
"it s not like" 2048
"it s not that" 1280
"it s not the" 2432
"it s one of" 1408
"it s only a" 1280
"it s the first" 1408
"it s time for" 3200
"it s time to" 3200
"it was a good" 1408
"it was a great" 2304
"it was going to" 1792
"it was just a" 1280
"it wasn t a" 1280
"it was one of" 1280
"it was the first" 1280
"it was time to" 1920
"it will be a" 1664
"it would be a" 2432
"i ve been a" 1536
"i ve been working" 1280
"i ve got a" 1536
"i ve had a" 1792
"i wanted to be" 1792
"i want to be" 3200
"i want to do" 1408
"i want to go" 1664
"i want to see" 1664
"i was able to" 2688
"i was a little" 1280
"i was going to" 3968
"i was in the" 1664
"i was trying to" 1920
"i wish i could" 3712
"i wish i had" 1280
"i wish i was" 1536
"i won t be" 1664
"i would like to" 5376
"i would love to" 3712
"i wouldn t be" 1536
"know what to do" 1536
"let me know if" 1536
"let me tell you" 1408
"let s just say" 1280
"let us know if" 1664
"ll be able to" 1408
"looking forward to it" 1280
"looking forward to seeing" 2176
"looking forward to the" 2048
"meep meep meep meep" 1664
"me know if you" 1280
"m looking forward to" 1536
"m not going to" 2560
"more than a year" 1536
"most of the time" 1536
"needs to be done" 1280
"not going to be" 1408
"nothing to do with" 2816
"of the city s" 2560
"of the company s" 1280
"of the day it" 1280
"of the most important" 1536
"of the nation s" 1536
"of the state s" 1536
"of the things i" 1280
"of the things that" 1280
"of the united states" 2560
"of the world s" 1408
"omg omg omg omg" 2688
"on a daily basis" 1280
"one of my favorite" 3968
"one of the best" 3968
"one of the biggest" 1408
"one of the first" 2432
"one of the greatest" 1280
"one of the many" 1280
"one of the most" 9344
"one of the things" 2304
"one of the top" 1536
"on my way to" 2688
"on the other hand" 4096
"on the other side" 1792
"on the side of" 2176
"on the verge of" 1536
"on the way to" 1664
"on top of the" 1664
"other side of the" 1664
"out of the house" 1536
"out of the way" 1408
"over and over again" 1280
"over the course of" 1280
"over the past few" 1664
"people who don t" 1408
"player of the year" 1664
"please please please please" 1280
"re going to be" 1664
"re going to have" 1408
"re not going to" 1280
"right now i m" 1280
"said in an interview" 1280
"said in a statement" 3968
"said it was a" 1664
"s a lot of" 3200
"see if i can" 1280
"s going to be" 6912
"should be able to" 1920
"so i decided to" 1280
"so i don t" 2048
"some of the most" 1920
"something to do with" 1280
"so much for the" 1280
"s one of the" 2048
"stuck in my head" 1536
"t be able to" 1792
"t get me wrong" 1408
"thanks for following me" 1408
"thanks for the ff" 1280
"thanks for the follow" 8960
"thanks for the mention" 1792
"thanks for the rt" 4224
"thanks for the shout" 1280
"thanks to everyone who" 1408
"thank you for the" 5760
"thank you for your" 2176
"thank you so much" 3840
"that doesn t mean" 2560
"that he doesn t" 1408
"that i can t" 1664
"that i don t" 2816
"that i m not" 1408
"that i ve been" 1536
"that i wanted to" 1408
"that s not a" 1792
"that s the way" 1408
"that s what i" 2816
"that s why i" 2176
"that there is a" 1664
"that there is no" 1280
"that you don t" 1408
"t have time to" 1536
"t have to be" 1280
"t have to worry" 1280
"the back of the" 3456
"the beginning of the" 2176
"the best of the" 1536
"the best way to" 1280
"the bottom of the" 4352
"the edge of the" 1792
"the end of the" 13568
"the end of this" 1664
"the fact that i" 1536
"the fact that the" 1664
"the first day of" 1792
"the first time i" 2944
"the first time in" 2688
"the last time i" 1664
"the majority of the" 1536
"the middle of the" 4224
"the most important thing" 1408
"the name of the" 1408
"the new york times" 1920
"the number of people" 1408
"the only thing i" 1280
"the only way to" 1536
"the other day i" 1408
"the other side of" 2176
"the past few months" 1408
"the past few years" 1664
"the president of the" 1536
"there are a few" 1280
"there are a lot" 1408
"there are plenty of" 1408
"there are so many" 2048
"there is no way" 1792
"there is so much" 1920
"there s a lot" 2176
"there s no way" 1408
"the rest of my" 1664
"the rest of the" 13696
"the rest of us" 1536
"there was a lot" 1280
"there will be a" 2560
"the s and s" 1536
"the side of the" 2688
"the size of the" 1408
"the start of the" 2176
"the state department of" 1792
"the time of the" 2816
"the top of the" 4352
"the united states and" 1408
"they don t have" 1408
"they re going to" 1536
"think it s a" 2048
"think it would be" 1536
"this is a great" 1280
"this is a very" 1280
"this is going to" 1920
"this is not a" 2432
"this is one of" 1792
"this is the first" 1664
"this time of year" 1920
"those of you who" 1792
"thought it would be" 1280
"t know how to" 1408
"t know what to" 1280
"to be able to" 6656
"to be a part" 1920
"to be honest i" 1408
"to be in the" 1408
"to be one of" 2304
"to be on the" 2048
"to be part of" 1792
"to come up with" 2688
"to do the same" 1280
"to do with it" 1408
"to do with the" 3712
"to figure out how" 1408
"to figure out what" 1408
"to get back to" 2048
"to get out of" 2560
"to get to the" 1280
"to go back to" 1408
"to go to the" 2816
"to keep up with" 1280
"to learn how to" 1408
"to learn more about" 1792
"to share with you" 1408
"to take care of" 2048
"to the city s" 1408
"to the fact that" 1664
"to the point where" 1792
"to work with the" 1280
"trying to figure out" 2304
"t seem to be" 1280
"turned out to be" 2304
"t wait for the" 1920
"t wait to get" 1408
"t wait to see" 4224
"t want to be" 1664
"two and a half" 1792
"us know if you" 1280
"want to know what" 1280
"was a lot of" 1280
"was going to be" 2944
"was one of the" 3328
"we are going to" 2560
"we don t have" 1536
"we don t know" 1792
"we re going to" 4864
"we re trying to" 1280
"we were able to" 1408
"what do you do" 1408
"what do you think" 1536
"what is going on" 1280
"what s going on" 1664
"what s your favorite" 1280
"what to do with" 1792
"what you re doing" 1408
"when it comes to" 7552
"when i was a" 1280
"who is going to" 1280
"why can t i" 1280
"why don t you" 1280
"will be able to" 3072
"with a lot of" 1280
"would be a good" 1280
"would have to be" 1408
"would like to see" 1280
"would love to see" 1280
"wouldn t have been" 1408
"you are going to" 1408
"you are having a" 1280
"you don t have" 4864
"you don t know" 3840
"you don t like" 1408
"you don t need" 1792
"you don t want" 1792
"you have a great" 1280
"you have to be" 1280
"you just have to" 1408
"you know what i" 1664
"you re going to" 3456
"you re in the" 1280
"you re looking for" 1536
"you ve got to" 2176
"you want to be" 1536
"you want to go" 1280
"you would like to" 1664
